time,FWI,tasmax,pr,sfcWind,scenario,h2o
1930,18.310506835513973,301.83157,5.6466074,3.0927591,Historical to Present (1850-2015),0.016538113
1931,18.05056761335047,301.83475,5.5984063,3.1393898,Historical to Present (1850-2015),0.016545959
1932,19.025478401598615,301.9746,5.548936,3.0934973,Historical to Present (1850-2015),0.016530914
1933,19.31055271638571,301.884,5.5704236,3.106941,Historical to Present (1850-2015),0.01649531
1934,16.816841164454583,301.64474,5.554083,3.1146061,Historical to Present (1850-2015),0.016475521
1935,18.33538242978631,301.73788,5.6193676,3.1216156,Historical to Present (1850-2015),0.016502613
1936,19.469459150318304,301.96976,5.540573,3.112705,Historical to Present (1850-2015),0.016519649
1937,18.65930642280512,301.87653,5.7911296,3.1209228,Historical to Present (1850-2015),0.016541092
1938,18.51300292814361,301.82047,5.625032,3.1198776,Historical to Present (1850-2015),0.016572898
1939,17.867704095406463,301.84705,5.614421,3.0545685,Historical to Present (1850-2015),0.016560048
1940,18.45400683409768,301.86813,5.5940423,3.0851047,Historical to Present (1850-2015),0.016556285
1941,18.443022354467303,301.77597,5.758672,3.1154594,Historical to Present (1850-2015),0.016528552
1942,17.067970083171843,301.77185,5.671442,3.0577462,Historical to Present (1850-2015),0.016512686
1943,17.781687923948244,301.67374,5.612975,3.1159613,Historical to Present (1850-2015),0.016532132
1944,19.346305846843133,302.00232,5.495021,3.0707226,Historical to Present (1850-2015),0.016551401
1945,18.837673975089086,301.8383,5.587127,3.0965862,Historical to Present (1850-2015),0.01654174
1946,18.894570762087515,301.84598,5.410965,3.118912,Historical to Present (1850-2015),0.016516743
1947,20.200147007738693,302.0048,5.4402647,3.119593,Historical to Present (1850-2015),0.016546145
1948,19.02870958816175,301.93106,5.841798,3.0687459,Historical to Present (1850-2015),0.016580647
1949,17.0953157984442,301.7163,5.5619926,3.08072,Historical to Present (1850-2015),0.016509483
1950,17.88419725965799,301.81717,5.6864853,3.1155937,Historical to Present (1850-2015),0.016539866
1951,18.853469714744886,301.98837,5.566574,3.097707,Historical to Present (1850-2015),0.016615817
1952,19.43307240496149,302.0566,5.52793,3.091912,Historical to Present (1850-2015),0.01658668
1953,17.570350574888174,301.74472,5.678948,3.0935895,Historical to Present (1850-2015),0.016537065
1954,18.323603092090792,301.79575,5.640525,3.1062086,Historical to Present (1850-2015),0.016557014
1955,18.426785045903262,301.8374,5.630722,3.1271875,Historical to Present (1850-2015),0.016576702
1956,18.453441454298613,301.88318,5.464601,3.105182,Historical to Present (1850-2015),0.016566684
1957,17.698224489112757,301.684,5.4217515,3.1584167,Historical to Present (1850-2015),0.016529255
1958,19.479819752732187,302.01913,5.454622,3.1346939,Historical to Present (1850-2015),0.016591089
1959,19.01221656863281,301.98474,5.469745,3.0854685,Historical to Present (1850-2015),0.016558468
1960,20.087304794415587,302.00192,5.4002852,3.1258173,Historical to Present (1850-2015),0.016581243
1961,19.453126525175275,301.8491,5.5323963,3.1404011,Historical to Present (1850-2015),0.016574841
1962,18.830794377187424,301.86438,5.6164947,3.0535657,Historical to Present (1850-2015),0.016545778
1963,18.215172069961596,301.60925,5.6345844,3.112191,Historical to Present (1850-2015),0.016370313
1964,17.61820809724389,301.42212,5.482532,3.1266596,Historical to Present (1850-2015),0.016306276
1965,18.141801013069944,301.5451,5.393937,3.1145716,Historical to Present (1850-2015),0.016348938
1966,20.203524393375506,301.887,5.5712533,3.0378716,Historical to Present (1850-2015),0.01643244
1967,19.4420378634972,301.74777,5.3983154,3.1109085,Historical to Present (1850-2015),0.01644389
1968,19.133111679874236,301.78525,5.4502287,3.0866842,Historical to Present (1850-2015),0.016444169
1969,20.01736095732019,301.84518,5.443317,3.1028125,Historical to Present (1850-2015),0.016492045
1970,19.95007566409696,301.9811,5.282541,3.0885918,Historical to Present (1850-2015),0.016484214
1971,20.386895521146965,301.88254,5.560113,3.1270838,Historical to Present (1850-2015),0.016480137
1972,19.186566879153993,301.56808,5.4012876,3.0928068,Historical to Present (1850-2015),0.01644847
1973,20.53322129895515,301.84085,5.3255377,3.097371,Historical to Present (1850-2015),0.016494885
1974,18.66882936978416,301.8033,5.510825,3.0953817,Historical to Present (1850-2015),0.016462082
1975,19.674580357433012,301.82584,5.1680155,3.111605,Historical to Present (1850-2015),0.016433455
1976,19.56124258962089,301.70444,5.2048273,3.125741,Historical to Present (1850-2015),0.016445866
1977,18.98683124994906,301.73297,5.5477047,3.0743768,Historical to Present (1850-2015),0.016457835
1978,18.522826962577557,301.84906,5.406004,3.1214173,Historical to Present (1850-2015),0.016505068
1979,20.464750231676238,301.85678,5.5672374,3.1534386,Historical to Present (1850-2015),0.016599918
1980,20.809522641152242,301.90445,5.3425927,3.1448898,Historical to Present (1850-2015),0.01658541
1981,20.586128406905804,301.8932,5.129482,3.166214,Historical to Present (1850-2015),0.016598709
1982,21.091996198793733,301.99414,5.2847376,3.1016445,Historical to Present (1850-2015),0.016637718
1983,19.712570113814074,301.95996,5.033323,3.0964062,Historical to Present (1850-2015),0.016605461
1984,20.271870163270375,301.92297,5.400236,3.1085443,Historical to Present (1850-2015),0.016705777
1985,21.032331081928223,302.13828,5.1467524,3.1052904,Historical to Present (1850-2015),0.016704302
1986,19.230473091890257,301.89685,5.4278045,3.1053731,Historical to Present (1850-2015),0.016712762
1987,19.839842389497225,302.0214,5.232566,3.1319911,Historical to Present (1850-2015),0.016819827
1988,20.40799171299562,302.13013,5.102277,3.0970385,Historical to Present (1850-2015),0.016773982
1989,20.644007439198752,302.03775,5.0956864,3.1060665,Historical to Present (1850-2015),0.016798101
1990,21.1503124695771,302.0156,5.1883936,3.1418674,Historical to Present (1850-2015),0.016834632
1991,20.984402117066896,302.0649,4.8802357,3.1467488,Historical to Present (1850-2015),0.016808076
1992,22.570999351633542,301.97852,4.808529,3.0997212,Historical to Present (1850-2015),0.016625479
1993,20.727881208327705,301.84277,5.138482,3.111942,Historical to Present (1850-2015),0.016613191
1994,19.6736928228463,301.746,5.096566,3.1026137,Historical to Present (1850-2015),0.01675229
1995,21.62282657701927,302.2206,4.825171,3.0638,Historical to Present (1850-2015),0.016793923
1996,21.41296086860234,302.02167,5.0682716,3.0604765,Historical to Present (1850-2015),0.016801313
1997,20.946438896383786,301.9475,4.748743,3.1377728,Historical to Present (1850-2015),0.016843285
1998,21.94292864844832,302.1013,5.402885,3.134257,Historical to Present (1850-2015),0.016975077
1999,20.67967586445999,302.24277,5.209821,3.0608962,Historical to Present (1850-2015),0.016968528
2000,18.677819198259094,301.99335,5.223205,3.1000664,Historical to Present (1850-2015),0.0169562
2001,20.604148085503738,302.1498,5.3001556,3.1498024,Historical to Present (1850-2015),0.01699162
2002,20.73034698042241,302.4069,5.1052704,3.1013508,Historical to Present (1850-2015),0.017011167
2003,21.422236686284734,302.13757,5.0931997,3.1539202,Historical to Present (1850-2015),0.01708732
2004,22.145596840742765,302.2866,5.3282833,3.0918849,Historical to Present (1850-2015),0.017111706
2005,20.34131776385424,302.09058,5.369208,3.07928,Historical to Present (1850-2015),0.017104022
2006,20.987410552048974,302.2206,4.993737,3.1170394,Historical to Present (1850-2015),0.017058149
2007,19.59330914083048,301.98416,5.212946,3.11247,Historical to Present (1850-2015),0.017073365
2008,21.428652642445936,302.1935,5.01052,3.13648,Historical to Present (1850-2015),0.017059436
2009,21.84775771834082,302.334,4.94411,3.147811,Historical to Present (1850-2015),0.017088091
2010,20.36801540922089,302.13272,5.2285886,3.0719054,Historical to Present (1850-2015),0.017126491
